Check All,ID,code,name,meta-infomation-based subspecies,SNP-based subspecies,SNP-based subgroup,country,region,sequencing depth,mapping depth,mapping coverage
,1,B001,Heibiao,TEMP,JAP,JG7,China,EAS,29.67,29.03,97.64
,2,B002,Sansuijin,TEMP,JAP,JG7,China,EAS,15.83,14.97,96.85
,3,B003,Zaoshengbai,TEMP,JAP,JG8,China,EAS,17.76,17.44,95.33
,4,B004,Qiuguang tentxi104hao,TEMP,JAP,JG7,Japan,EAS,23.48,23.24,96.98
,5,B005,Wanshi,TEMP,JAP,JG7,Japan,EAS,18.49,17.85,96.46
,6,B006,Yikong,IND,IND,IG2,Vietnam,SEA,18.58,14.69,85.71
,7,B007,Tianhandao,IND,IND,IG2,Vietnam,SEA,17.03,13.38,85.34
,8,B008,Baxiang,TEMP,JAP,JG7,Vietnam,SEA,16.16,16.04,96.27
,9,B009,Yuenanzaodao,IND,IND,IG4,Vietnam,SEA,17.31,13.61,86.46
,10,B010,Malaihong,IND,IND,IG4,Malaysia,SEA,19.41,15.37,86.49
,11,B011,CO 22,IND,IND,IG5,India,SAS,20.47,19.93,90.99
,12,B012,2037(Rajahamsal),IND,IND,IG5,India,SAS,26.8,25.78,93.98
,13,B013,Sililanka1hao,IND,IND,IG1,Sri_Lanka,SAS,13.86,13.5,92.74
,14,B015,Kahamu,IND,IND,IG4,Romania,EUR,24.86,19.76,86.98
,15,B016,Aoermite168,TEMP,JAP,JG7,Hungary,EUR,20.81,20.55,94.88
,16,B017,Aerjituo,TEMP,JAP,JG7,Bulgaria,EUR,19.45,19.22,95.57
,17,B018,Meiguohuangkedao,TROP,JAP,JG10,United_States,AME,23.86,23.38,94.71
,18,B019,BuleidaA-75,IND,IND,IG2,Mexico,AME,14.66,11.72,88.02
,19,B020,Jineiyadao,ADM,ADM,Adm,Guinea,AFR,14.21,13.67,92.56
,20,B021,Seln 244A6-20,IND,IND,IG2,Australia,OCE,15.34,12.15,85.94
,21,B023,Gaoliqiu,TEMP,ADM,Adm,North_Korea,EAS,17.89,16.55,96.81
,22,B024,Xianluosichi,IND,IND,IG4,Thailand,SEA,15.25,12.1,86.14
,23,B025,Djanda Mandja,TROP,JAP,JG9,Indonesia,SEA,13.15,10.61,94.04
,24,B026,Padi Ladang Ase Polo Komek,IND,IND,IG5,Indonesia,SEA,25.4,24.09,92.27
,25,B027,C 894-21,IND,IND,IG1,Philippines,SEA,18.48,17.86,91.47
,26,B028,IR 10179-23-1-3,IND,IND,IG1,Philippines,SEA,15.89,14.42,92.54
,27,B029,Dumai,IND,IND,IG1,India,SAS,9.07,8.76,90.01
,28,B030,Jaibattey,IND,IND,IG5,India,SAS,7.07,6.87,87.21
,29,B031,Ngatsin,IND,IND,IG5,India,SAS,16.3,15.74,91.5
,30,B032,Rohini,IND,IND,IG1,India,SAS,16.85,16.27,90.88
,31,B033,BW 293-2,IND,IND,IG1,Sri_Lanka,SAS,17.75,17.13,90.74
,32,B034,Aerbaniyazhong,TEMP,JAP,JG7,Albania,EUR,18.29,17.85,97.35
,33,B035,Meiguodao,IND,IND,IG1,United_States,AME,9.04,8.78,88.83
,34,B036,Jijucas Claro,TEMP,JAP,JG8,Brazil,AME,18.67,18.25,94.87
,35,B037,Nanoay P.A,JAP,ADM,Adm,Argentina,AME,10.25,9.92,94.45
,36,B038,Nabated A Smar,TEMP,JAP,JG9,Egypt,AFR,14.46,14.12,96.95
,37,B039,IRAT 10,ADM,ADM,Adm,Ivory_Coast,AFR,23.17,22.53,97.5
,38,B040,K 24,IND,IND,IG4,Uganda,AFR,23.31,18.59,87.3
,39,B043,YR 83-23-11,TROP,JAP,JG9,Australia,OCE,16.09,15.8,94.66
,40,B044,Santian nuo,IND,IND,IG2,Japan,EAS,11.11,8.81,84.63
,41,B045,Gongchengxiang,TEMP,JAP,JG7,Japan,EAS,22.24,20.86,97.0
,42,B046,Qiutianxiaoding,TEMP,JAP,JG7,Japan,EAS,20.91,20.24,97.09
,43,B047,Zhenfu 8,ADM,ADM,Adm,Japan,EAS,12.5,11.95,97.09
,44,B048,CISOKAN,IND,IND,IG2,Indonesia,SEA,10.2,8.02,83.8
,45,B049,Zacaodao13,AUS,AUS,AUSG6,Nepal,SAS,16.61,16.21,92.28
,46,B051,GZ 1368-5-4,IND,IND,IG1,Egypt,AFR,15.65,15.11,90.78
,47,B052,J34,IND,IND,IG5,Madagascar,AFR,20.9,19.09,90.87
,48,B053,80A97YR303-304-1-3,TROP,JAP,JG10,Australia,OCE,16.21,15.45,94.67
,49,B054,80050YR72136-43,TROP,JAP,JG10,Australia,OCE,12.9,12.59,93.72
,50,B055,YR196,JAP,ADM,Adm,Australia,OCE,13.53,11.96,95.17
,51,B056,Tieganwu,TEMP,JAP,JG7,China,EAS,15.52,15.12,94.86
,52,B057,Xiushui115,TEMP,JAP,JG7,China,EAS,11.24,11.13,95.03
,53,B058,Erjiunan1hao,IND,IND,IG1,China,EAS,13.76,13.15,89.86
,54,B059,Nanjing11hao,IND,IND,IG4,China,EAS,17.35,13.62,86.03
,55,B060,Aijiaonante,IND,IND,IG4,China,EAS,11.57,9.09,84.45
,56,B061,Guangluai4hao,IND,IND,IG4,China,EAS,20.98,16.55,86.96
,57,B062,Nantehao,IND,IND,IG4,China,EAS,14.91,11.68,85.06
,58,B063,Guichao2hao,IND,IND,IG1,China,EAS,10.65,10.09,88.93
,59,B064,Xiangzaoxian7hao,IND,IND,IG4,China,EAS,16.04,12.57,85.71
,60,B065,Huangsiguizhan,IND,IND,IG1,China,EAS,14.77,14.31,91.75
,61,B066,Guangkexiangnuo,TEMP,JAP,JG7,China,EAS,19.85,19.55,95.58
,62,B067,Funingzipibianzi,IND,IND,IG4,China,EAS,12.94,10.02,84.77
,63,B068,Gaoyangdiandaodahongmang,TEMP,JAP,JG7,China,EAS,14.94,14.79,94.78
,64,B069,Dandongludao,TEMP,JAP,JG8,China,EAS,14.02,13.77,94.69
,65,B070,Laoguangtou83,TEMP,JAP,JG8,China,EAS,22.19,21.47,95.27
,66,B071,Muxiqiu,TEMP,JAP,JG7,China,EAS,14.09,13.89,95.59
,67,B072,Qiuqianbai,IND,IND,IG4,China,EAS,8.95,7.02,84.85
,68,B073,Jinxibai,IND,IND,IG2,China,EAS,23.98,18.73,86.97
,69,B074,Taishannuo,IND,IND,IG4,China,EAS,19.9,15.58,85.73
,70,B075,Jinbaoyin,IND,IND,IG2,China,EAS,9.47,7.17,85.01
,71,B076,Minbeiwanxian,IND,IND,IG2,China,EAS,18.49,14.59,87.73
,72,B077,Yizhixiang,TEMP,JAP,JG7,China,EAS,13.39,12.22,94.57
,73,B079,Ersiniu,IND,IND,IG4,China,EAS,19.24,15.06,85.74
,74,B081,Heidu 4,IND,IND,IG4,China,EAS,22.66,17.87,87.57
,75,B082,Qiyuexian,IND,IND,IG2,China,EAS,13.39,10.35,85.03
,76,B083,Dongtingwanxian,IND,IND,IG4,China,EAS,14.92,11.66,85.39
,77,B084,Bawangbian1,ADM,ARO,AROG11,China,EAS,15.6,15.19,93.57
,78,B085,Xugunuo,IND,IND,IG1,China,EAS,13.04,12.35,90.99
,79,B086,Muguanuo,ADM,ARO,AROG11,China,EAS,16.28,15.98,93.36
,80,B087,Zhongnong4hao,IND,IND,IG5,China,EAS,6.18,5.88,86.64
,81,B088,San**qishiluo,IND,IND,IG1,China,EAS,9.76,9.44,88.59
,82,B089,Qitoubaigu,IND,IND,IG4,China,EAS,17.69,14.01,86.9
,83,B090,Zimi,IND,IND,IG4,China,EAS,17.45,13.3,86.31
,84,B091,Xiaohonggu,IND,IND,IG4,China,EAS,18.11,14.1,85.06
,85,B092,Gongju73,IND,IND,IG4,China,EAS,16.94,13.36,85.56
,86,B093,Qitougu,IND,IND,IG4,China,EAS,9.7,7.45,82.48
,87,B094,Zinuo,IND,IND,IG4,China,EAS,21.52,16.95,88.08
,88,B095,Mowangguneiza,IND,IND,IG2,China,EAS,18.82,14.78,85.93
,89,B096,Jinzhinuo,IND,IND,IG4,China,EAS,17.24,13.65,85.92
,90,B097,Jixuenuo,IND,IND,IG4,China,EAS,27.4,21.34,87.46
,91,B100,Hongkezhenuo,TEMP,JAP,JG7,China,EAS,18.22,17.98,95.62
,92,B102,Maguzi,TEMP,JAP,JG7,China,EAS,12.07,11.8,93.83
,93,B103,Laohongdao,TEMP,JAP,JG7,China,EAS,15.49,15.09,95.25
,94,B104,Jiabala,IND,IND,IG4,India,SAS,14.54,11.5,85.28
,95,B105,Baoxuan21hao,IND,IND,IG2,China,EAS,15.4,12.25,85.63
,96,B106,Wenxiangnuo,IND,IND,IG4,China,EAS,13.32,10.62,84.89
,97,B107,Dawannuo,IND,IND,IG4,China,EAS,19.36,15.39,86.57
,98,B108,Xianggu,IND,IND,IG4,China,EAS,14.02,10.72,85.65
,99,B109,Lengshuigu2,TEMP,JAP,JG7,China,EAS,15.28,14.98,94.51
,100,B110,Huangpinuo,TEMP,JAP,JG7,China,EAS,13.9,13.47,95.14
,101,B111,Zimangfeie,TEMP,JAP,JG7,China,EAS,18.31,16.5,95.51
,102,B112,Liusha1hao,IND,IND,IG4,China,EAS,10.62,8.44,83.68
,103,B113,Chenwan3hao,IND,IND,IG2,China,EAS,18.65,14.81,85.74
,104,B114,Chengduai3hao,IND,IND,IG4,China,EAS,15.19,11.51,86.31
,105,B115,Aimakang,IND,IND,IG4,China,EAS,16.31,12.86,85.36
,106,B116,Shufeng101,IND,IND,IG4,China,EAS,19.75,15.83,85.82
,107,B117,Lixinjing,TEMP,JAP,JG7,China,EAS,7.11,6.99,92.96
,108,B118,Ergangai,IND,IND,IG2,China,EAS,14.09,10.91,84.48
,109,B119,Guangluai15-1,IND,IND,IG4,China,EAS,13.81,10.79,86.0
,110,B120,Hongwan1hao,IND,IND,IG2,China,EAS,7.41,5.89,81.38
,111,B121,Luke3,IND,IND,IG4,China,EAS,15.37,12.17,85.46
,112,B122,Liangjing287,TEMP,JAP,JG7,China,EAS,11.61,11.51,95.52
,113,B123,Zaoshuxiangheimi,IND,IND,IG4,China,EAS,18.78,14.96,86.68
,114,B124,Jing87-304,ADM,ADM,Adm,China,EAS,16.04,15.75,96.75
,115,B125,Xiangwanxian3hao,IND,IND,IG1,China,EAS,21.78,21.14,92.36
,116,B126,Zaoxian240,IND,IND,IG4,China,EAS,11.97,8.97,84.31
,117,B127,Dangyu5hao,IND,IND,IG4,China,EAS,13.29,10.48,84.37
,118,B128,Sibeitichao6,IND,IND,IG1,China,EAS,11.93,11.65,90.45
,119,B129,Hongainuo,IND,IND,IG2,China,EAS,17.56,13.96,86.4
,120,B130,Wanlixian,IND,IND,IG4,China,EAS,15.42,12.32,86.82
,121,B131,Aizizhan,IND,IND,IG2,China,EAS,15.52,12.33,84.59
,122,B132,Xiaobaimi,IND,IND,IG2,China,EAS,10.56,8.5,83.65
,123,B133,Yanshuichi,IND,IND,IG2,China,EAS,13.64,10.47,84.35
,124,B134,Xishi15,TROP,JAP,JG8,China,EAS,12.11,11.88,94.21
,125,B135,Hongjinghangu,IND,IND,IG2,China,EAS,14.1,11.36,84.64
,126,B136,Yuyannuo,TEMP,JAP,JG7,China,EAS,12.14,11.88,94.18
,127,B137,80B,IND,IND,IG1,Philippines,SEA,7.79,7.6,88.2
,128,B138,Gu154,IND,IND,IG1,China,EAS,8.64,8.43,89.27
,129,B139,IR 661-1,IND,IND,IG1,China,EAS,18.26,17.78,93.93
,130,B140,PeiC122,IND,IND,IG4,China,EAS,15.49,12.61,85.4
,131,B141,Jing7623,ADM,ADM,Adm,China,EAS,10.56,9.85,91.59
,132,B142,Ninghui21,ADM,ARO,AROG11,China,EAS,11.27,10.62,93.27
,133,B143,76--1,JAP,ARO,AROG11,China,EAS,17.39,17.1,95.15
,134,B144,Huhui628,JAP,ADM,Adm,China,EAS,5.84,5.73,90.88
,135,B145,Teqingxuanhui,IND,IND,IG1,China,EAS,9.35,9.06,89.43
,136,B146,JWR 221,IND,IND,IG1,China,EAS,7.15,6.95,86.94
,137,B147,Baikehanhe,IND,IND,IG4,China,EAS,14.2,11.48,85.74
,138,B148,Lengshuinuo,TEMP,JAP,JG7,China,EAS,10.96,10.71,93.83
,139,B149,Haoxiang,IND,IND,IG4,China,EAS,21.58,17.46,87.18
,140,B150,L 301B,IND,IND,IG1,China,EAS,15.72,15.2,91.28
,141,B151,Jinnante43B,IND,IND,IG4,China,EAS,11.51,9.25,85.08
,142,B152,Zaoshunonghu6,ADM,ADM,Adm,China,EAS,15.81,15.47,96.93
,143,B153,Qingsiai16B,IND,IND,IG1,China,EAS,10.65,9.29,90.53
,144,B154,LimingB,TEMP,JAP,JG7,China,EAS,14.33,14.11,96.62
,145,B155,Baoxie-7B,IND,IND,IG1,China,EAS,10.82,10.55,89.76
,146,B156,Gzhenshan97B,IND,IND,IG4,China,EAS,14.71,11.93,86.33
,147,B157,88B,IND,IND,IG1,China,EAS,24.5,23.82,92.05
,148,B158,Taizhong65hao/TaizhongHR539,ADM,ADM,Adm,China,EAS,16.96,16.49,95.62
,149,B159,Taizhongzailai1hao/Taizhong65,IND,IND,IG1,China,EAS,14.64,14.16,90.65
,150,B160,Shuiyuan300li,TEMP,JAP,JG7,China,EAS,23.35,23.11,96.4
,151,B161,Yelicanghua,TEMP,JAP,JG7,China,EAS,15.08,14.55,94.97
,152,B162,Baigedao,TEMP,JAP,JG7,China,EAS,23.81,23.47,95.4
,153,B163,liushizao,IND,IND,IG4,China,EAS,16.96,13.4,85.69
,154,B164,Qingke,AUS,AUS,AUSG6,China,EAS,18.21,17.74,90.6
,155,B165,Haohuangla,IND,IND,IG4,China,EAS,10.24,8.25,82.88
,156,B166,Jianghuadao,TEMP,JAP,JG7,North_Korea,EAS,4.37,4.32,87.99
,157,B167,Qingjinzaosheng,TEMP,JAP,JG7,North_Korea,EAS,20.11,19.89,95.94
,158,B168,Zhuyuan,TEMP,JAP,JG8,Japan,EAS,12.64,12.48,93.85
,159,B169,Ailuyu,TEMP,JAP,JG7,Japan,EAS,8.93,8.85,94.0
,160,B170,Hongse60,TEMP,JAP,JG10,Russia,EUR,12.85,12.72,94.7
,161,B171,Linguo,TEMP,JAP,JG7,Italy,EUR,11.66,11.58,95.04
,162,B173,Tjantajan,ADM,ADM,Adm,Indonesia,SEA,13.54,13.23,90.73
,163,B176,BRC 25-146-2-1,IND,IND,IG1,Bangladesh,SAS,18.58,18.12,90.68
,164,B179,KeluoduoB,TEMP,JAP,JG7,France,WEU,12.7,12.49,93.65
,165,B180,P1790-5-1M-4-5M-1B-3M-B,IND,IND,IG2,Columbia,AME,12.85,10.22,83.58
,166,B181,71011,IND,IND,IG4,Australia,OCE,4.98,3.99,75.91
,167,B182,Chimao,TEMP,JAP,JG7,Japan,EAS,26.04,25.63,96.14
,168,B183,Qingnuo,TEMP,JAP,JG7,Japan,EAS,21.12,20.91,96.61
,169,B184,CHANH 148,IND,IND,IG2,Vietnam,SEA,8.85,7.02,82.03
,170,B185,SLK 2-18-2,IND,IND,IG1,Laos,SEA,5.73,5.59,85.51
,171,B187,RP 1570-44-1,IND,IND,IG4,India,SAS,7.58,6.04,81.35
,172,B188,IRAT 36,TROP,JAP,JG9,Ivory_Coast,AFR,10.35,10.19,92.55
,173,B189,IRAT 669,TROP,JAP,JG9,Ivory_Coast,AFR,11.11,10.94,93.21
,174,B190,ITA 221,TROP,JAP,JG9,Nigeria,AFR,23.0,22.6,94.28
,175,B191,80A60YR71009-1-5,TROP,JAP,JG10,Australia,OCE,21.28,20.96,94.54
,176,B192,R42,ADM,ARO,AROG11,Philippines,SEA,15.54,15.21,91.46
,177,B193,C.MEDIO 7,IND,IND,IG1,Cuba,AME,9.06,8.82,87.84
,178,B194,ECIA 179-S13,IND,IND,IG1,Cuba,AME,8.73,8.42,88.08
,179,B195,PMS 10B,IND,IND,IG1,India,SAS,10.98,10.73,89.0
,180,B196,Taizhongludao,JAP,JAP,JG8,China,EAS,16.63,16.35,93.3
,181,B197,Taizhongxianxuan2,IND,IND,IG4,China,EAS,21.14,16.6,86.0
,182,B198,Jiefangxian,IND,IND,IG4,China,EAS,8.79,6.97,82.02
,183,B199,Hongmisandan,TEMP,JAP,JG7,China,EAS,8.62,8.5,92.41
,184,B200,Jinyou1hao,IND,IND,IG1,China,EAS,8.81,8.57,87.55
,185,B201,Chengnongshuijing,IND,IND,IG1,China,EAS,9.57,9.33,88.72
,186,B202,Baoxie123B,IND,IND,IG1,China,EAS,6.64,6.43,85.93
,187,B203,Biwusheng,IND,IND,IG4,China,EAS,4.38,3.44,74.66
,188,B204,Longhuamaohu,TEMP,JAP,JG7,China,EAS,28.98,28.52,95.64
,189,B205,Cunsanli,TEMP,JAP,JG7,China,EAS,15.29,15.04,94.33
,190,B207,Aihechi,IND,IND,IG2,China,EAS,7.97,6.28,80.97
,191,B208,Lucaihao,IND,IND,IG4,China,EAS,31.34,24.83,86.78
,192,B210,Nanxiongzaoyouzhan,IND,IND,IG4,China,EAS,27.81,21.94,86.19
,193,B212,Chikenuo,TEMP,JAP,JG7,China,EAS,25.58,25.19,94.59
,194,B213,Liuyezhan,IND,IND,IG4,China,EAS,9.12,7.2,82.51
,195,B214,Xuanenchangtanqingzhan,IND,IND,IG1,China,EAS,30.11,29.27,92.3
,196,B215,Hongqi5hao,TEMP,JAP,JG7,China,EAS,15.89,15.73,94.51
,197,B216,Hanmadao,IND,IND,IG4,China,EAS,23.23,18.21,85.88
,198,B217,Honggu,IND,IND,IG1,China,EAS,20.25,19.75,91.16
,199,B218,Wuzidui,TEMP,JAP,JG7,China,EAS,17.39,17.19,95.84
,200,B219,Haolai,IND,IND,IG4,China,EAS,12.52,9.89,84.49
,201,B221,Fanhaopi,AUS,IND,IG4,China,EAS,23.56,18.63,88.73
,202,B222,Beizinuo,IND,IND,IG4,China,EAS,15.56,12.26,85.66
,203,B223,Cungunuo,TEMP,JAP,JG7,China,EAS,13.93,13.73,94.92
,204,B224,Youzhan,IND,IND,IG4,China,EAS,13.7,10.84,90.39
,205,B225,Guantuibaihe1,TEMP,JAP,JG7,China,EAS,18.72,18.45,95.2
,206,B226,Heimangdao,TEMP,JAP,JG7,China,EAS,20.13,19.65,95.43
,207,B227,Menjiagao1,IND,IND,IG2,China,EAS,8.85,6.71,81.8
,208,B228,Haobayong1,TEMP,JAP,JG7,China,EAS,15.09,14.93,96.0
,209,B229,Menjiading2,IND,IND,IG4,China,EAS,20.15,15.88,86.13
,210,B230,Banjiemang,TEMP,JAP,JG7,China,EAS,17.19,16.96,95.02
,211,B231,Dongtingwanshan,IND,IND,IG2,China,EAS,10.64,8.42,81.71
,212,B232,Xiangaizao10hao,IND,IND,IG1,China,EAS,14.81,14.39,90.09
,213,B233,Xiangwanshan1hao,IND,IND,IG1,China,EAS,14.49,14.14,90.08
,214,B234,Aituogu151,IND,IND,IG4,China,EAS,13.58,10.75,84.79
,215,B235,Zhonghua8hao,TEMP,JAP,JG7,China,EAS,19.53,19.31,96.39
,216,B236,Jindao1hao,TEMP,JAP,JG7,China,EAS,18.45,18.18,96.62
,217,B238,Momi,IND,IND,IG4,China,EAS,9.87,7.75,83.17
,218,B239,Zhenshan232,IND,IND,IG4,China,EAS,7.56,5.93,82.11
,219,B240,Zhengdao5hao,TEMP,JAP,JG7,China,EAS,13.69,13.53,95.09
,220,B241,Lamujia,TROP,JAP,JG8,China,EAS,17.42,17.13,94.25
,221,B242,Gui630,IND,IND,IG1,China,EAS,9.1,8.86,89.08
,222,B243,Xianghui91269,AUS,AUS,AUSG6,China,EAS,17.42,16.98,90.22
,223,B244,Xiangdao,IND,IND,IG4,China,EAS,8.18,6.56,81.9
,224,B245,Shanjiugu,TROP,JAP,JG8,China,EAS,14.74,14.51,94.28
,225,B246,Laozaogu,IND,IND,IG2,China,EAS,13.72,10.98,90.51
,226,B247,JinnanteB,IND,IND,IG4,China,EAS,19.17,15.43,87.89
,227,B248,ZhuzhenB,IND,IND,IG4,China,EAS,10.68,8.63,83.91
,228,B249,ChaoyangyihaoB,IND,IND,IG4,China,EAS,17.02,13.47,85.43
,229,B250,AnnongwanjingB,TEMP,JAP,JG7,China,EAS,23.16,22.9,96.95
,230,B252,XiangaiB,IND,IND,IG1,China,EAS,16.01,15.56,90.48
,231,B253,Jiangnongzao1haoB,IND,IND,IG1,China,EAS,30.67,29.16,91.97
,232,B254,JInghuB,IND,IND,IG1,China,EAS,20.26,19.55,90.82
,233,B255,Dianrui409B,IND,IND,IG1,China,EAS,8.98,8.71,88.4
,234,B258,Xingguo,TEMP,JAP,JG7,China,EAS,17.76,17.44,95.22
