,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.8783,5.0,147.0,16.0,8.7,3.1,2.9,102.0,25.0,72.0,1.1,29.0,54.0,Sri_Lanka,SAS,AUS
IRIS_313.11821,6.0,150.0,27.0,7.1,3.3,2.1,123.0,20.0,73.0,1.5,27.0,45.0,India,SAS,IND
IRIS_313.10565,5.0,144.0,20.0,9.8,2.9,2.8,118.0,15.0,65.0,1.5,32.0,27.0,Indonesia,SEA,IND
IRIS_313.10550,6.0,130.0,20.0,9.7,2.8,2.7,118.0,15.0,65.0,1.6,33.0,26.0,Indonesia,SEA,IND
IRIS_313.10566,5.0,114.0,25.0,9.4,3.1,2.7,127.0,16.0,52.0,1.3,29.0,36.0,Indonesia,SEA,IND
IRIS_313.10564,4.0,93.0,15.0,7.4,3.4,2.4,84.0,18.0,56.0,1.3,23.0,38.0,Japan,EAS,JAP
IRIS_313.10298,5.4,75.0,15.0,9.6,2.5,1.1,92.0,17.0,40.6,1.0,26.6,32.0,Sri_Lanka,SAS,IND
IRIS_313.11036,5.0,108.0,20.0,9.4,2.9,2.9,78.0,21.0,58.0,1.5,23.0,28.0,Pakistan,SAS,ARO
IRIS_313.11586,4.0,54.0,12.0,8.2,3.7,3.1,75.0,7.0,30.0,1.0,16.0,13.0,China,EAS,JAP
IRIS_313.11037,4.0,103.0,20.0,8.0,2.8,2.1,78.0,17.0,40.0,1.1,23.0,28.0,Pakistan,SAS,AUS
IRIS_313.11202,3.0,71.0,12.0,8.0,3.7,2.9,80.0,15.0,40.0,1.1,21.0,21.0,China,EAS,JAP
IRIS_313.8450,5.0,131.0,30.0,9.8,2.8,2.8,116.0,24.0,73.0,1.2,25.0,19.0,India,SAS,IND
IRIS_313.8872,5.0,108.0,15.0,9.9,3.3,2.9,122.0,17.0,67.0,2.0,33.0,27.0,Thailand,SEA,ADM
IRIS_313.8399,3.0,45.0,13.0,8.0,2.9,2.4,72.0,9.0,28.0,0.9,17.0,25.0,France,WEU,JAP
IRIS_313.10711,6.0,116.0,8.0,9.3,3.2,3.1,95.0,22.0,82.0,1.9,29.0,24.0,Liberia,AFR,JAP
IRIS_313.9438,3.0,74.0,18.0,7.9,3.4,2.3,64.0,8.0,52.0,1.1,22.0,39.0,Japan,EAS,JAP
IRIS_313.11246,3.0,55.0,17.0,8.0,3.3,2.2,65.0,13.0,38.0,0.9,18.0,33.0,Japan,EAS,JAP
